what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildProject",1364780316416
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1364780316595
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1364780316596
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780316956
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780322859
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1364780331612
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780332266
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1364780334707
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1364780334803
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1364780334839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780335071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1364780335082
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1364780339189
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1364780342042
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.project.buildProject",1364780367112
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780367435
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780367580
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1364780374825
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1364780374839
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1364780374893
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1364780374893
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780378077
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780412640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1364780412661
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1364780437377
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1364780437442
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1364780438174
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780439881
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780440344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780440547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780445568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780446522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780459243
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780460380
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1364780463101
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1364780463462
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1364780463490
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1364780463551
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1364780463558
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1364780463706
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1364780463734
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364780464148
